ID,abdomen_brightness,avg_leafdark,avg_leaflight,white,grey1,grey2,grey3,grey4,grey5,grey6,grey7,black
279594,113.1519004,66.66666667,101.6666667,230.6666667,220.6666667,173,132,96,71,33,20,16.33333333
279598,NA,24.33333333,40.33333333,191,134.6666667,89.33333333,57.33333333,40.66666667,22.33333333,13.66666667,12,11
279602,102.1896057,78.66666667,119.3333333,231,211.6666667,173.3333333,145.3333333,122,77.66666667,44,32.33333333,26.66666667
279604,67.604,25.66666667,50,214,190.6666667,155,123,85.66666667,54.33333333,32.33333333,23,20
279605,52.721,38.33333333,56.66666667,250,238.6666667,217.3333333,194,154.3333333,107.6666667,63,30.66666667,20
279608,78.381,32,114,246.3333333,227.3333333,198.6666667,165,127,87.33333333,52.33333333,36.66666667,30.33333333
279616,75.514,24.66666667,54,247,228.6666667,197.3333333,164.6666667,110.3333333,72,24.33333333,7.666666667,4.666666667
279621,101.416,90,117.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
279625,70.867,55.33333333,60.5,216,197.3333333,166.3333333,114.3333333,92.66666667,52.66666667,27,13.66666667,9.333333333
279626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279629,NA,39.33333333,65,203.6666667,167.3333333,123,92,66.66666667,39,24.66666667,18.33333333,18.66666667
279631,83.694,48.33333333,77.66666667,193.6666667,168,130.3333333,101.6666667,70.33333333,39.33333333,21.33333333,7,7.666666667
279635,NA,53,100.6666667,240.3333333,227,206.3333333,178.6666667,145.3333333,92,56,29.33333333,26.33333333
279638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279651,83.641,48.33333333,68.66666667,249.6666667,240,220.3333333,195,162.6666667,112,60,39.33333333,32.33333333
279655,69.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279660,97.163,91.66666667,122.3333333,227,202,178,142.3333333,100.6666667,56,45.66666667,27.66666667,26.33333333
279665,NA,61.66666667,120.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
